,Unnamed: 0,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
91,133,2013,8,Arizona,Other,8,3.0,0.0,2013 8 Arizona,O157:H7,60,113594,0.913,0.875,100.0,77.0,5.59,50.45,"5,155","5,417",103
92,135,2010,4,Arizona,Other,5,1.0,0.0,2010 4 Arizona,O157:H7,60,113594,0.913,0.875,95.0,69.0,5.59,50.45,"5,155","5,417",103
93,139,2013,10,Colorado,Food,9,1.0,0.0,2013 10 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,52.0,25.0,5.59,50.45,"5,155","5,417",103
94,140,2010,10,Colorado,Other,6,1.0,0.0,2010 10 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,52.0,25.0,5.59,50.45,"5,155","5,417",103
95,142,2014,6,Colorado,Other,3,1.0,0.0,2014 6 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,90.0,59.0,5.59,50.45,"5,155","5,417",103
96,145,2000,6,Colorado,Food,16,6.0,1.0,2000 6 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,90.0,59.0,5.59,50.45,"5,155","5,417",103
97,146,2000,6,Colorado,Food,7,5.0,0.0,2000 6 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,90.0,59.0,5.59,50.45,"5,155","5,417",103
98,147,2010,6,Colorado,Food,30,2.0,0.0,2010 6 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,90.0,59.0,5.59,50.45,"5,155","5,417",103
99,148,2015,6,Colorado,Food,6,0.0,0.0,2015 6 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,90.0,59.0,5.59,50.45,"5,155","5,417",103
100,149,2015,6,Colorado,Food,16,5.0,0.0,2015 6 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,90.0,59.0,5.59,50.45,"5,155","5,417",103
101,152,2001,7,Colorado,Food,13,5.0,0.0,2001 7 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,88.0,57.0,5.59,50.45,"5,155","5,417",103
102,153,2003,7,Colorado,Food,2,2.0,0.0,2003 7 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,88.0,57.0,5.59,50.45,"5,155","5,417",103
