,Year,Month,State,Primary Mode,Illnesses,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
109,2007,9,Colorado,Food,2,2007 9 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,66,37,5.59,50.45,5155,5417,103
110,2009,1,Colorado,Other,19,2009 1 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,46,19,5.59,50.45,5155,5417,103
111,2009,5,Colorado,Food,3,2009 5 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,82,52,5.59,50.45,5155,5417,103
112,2008,5,Colorado,Food,2,2008 5 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,82,52,5.59,50.45,5155,5417,103
113,2016,5,Colorado,Food,9,2016 5 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,82,52,5.59,50.45,5155,5417,103
114,2013,8,Colorado,Other,5,2013 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48,5.59,50.45,5155,5417,103
115,2009,8,Colorado,Other,9,2009 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48,5.59,50.45,5155,5417,103
116,2008,8,Colorado,Food,5,2008 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48,5.59,50.45,5155,5417,103
117,2016,8,Colorado,Other,5,2016 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48,5.59,50.45,5155,5417,103
118,2009,2,Colorado,Other,13,2009 2 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,54,27,5.59,50.45,5155,5417,103
119,2010,3,Colorado,Food,2,2010 3 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,61,34,5.59,50.45,5155,5417,103
120,2011,9,Idaho,Food,5,2011 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65,41,5.59,50.45,5155,5417,103
121,2011,9,Idaho,Other,2,2011 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65,41,5.59,50.45,5155,5417,103
122,2013,9,Idaho,Food,4,2013 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65,41,5.59,50.45,5155,5417,103
123,2015,9,Idaho,Food,15,2015 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65,41,5.59,50.45,5155,5417,103
124,2010,10,Idaho,Food,3,2010 10 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,48,32,5.59,50.45,5155,5417,103
125,1999,10,Idaho,Food,33,1999 10 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,48,32,5.59,50.45,5155,5417,103
126,2017,3,Idaho,Other,3,2017 3 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,62,39,5.59,50.45,5155,5417,103
127,2013,8,Idaho,Other,2,2013 8 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,79,51,5.59,50.45,5155,5417,103
128,2006,11,Idaho,Food,4,2006 11 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,38,24,5.59,50.45,5155,5417,103
129,2009,7,Oregon,Other,3,2009 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
130,2011,7,Oregon,Other,2,2011 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
131,2011,7,Oregon,Food,15,2011 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
132,2013,7,Oregon,Other,2,2013 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
133,2014,7,Oregon,Other,3,2014 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
134,2011,8,Oregon,Other,2,2011 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
135,2009,8,Oregon,Other,2,2009 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
136,2013,8,Oregon,Other,2,2013 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
137,2014,8,Oregon,Other,2,2014 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
138,2000,8,Oregon,Food,37,2000 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
139,2003,8,Oregon,Food,12,2003 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
140,2010,8,Oregon,Other,3,2010 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
141,2010,8,Oregon,Other,3,2010 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
142,2016,8,Oregon,Other,3,2016 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48,5.59,50.45,5155,5417,103
143,2011,10,Oregon,Other,2,2011 10 Oregon,O157:H7,41,95988,0.934,0.882,53,38,5.59,50.45,5155,5417,103
144,2012,10,Oregon,Food,4,2012 10 Oregon,O157:H7,41,95988,0.934,0.882,53,38,5.59,50.45,5155,5417,103
145,2014,10,Oregon,Other,2,2014 10 Oregon,O157:H7,41,95988,0.934,0.882,53,38,5.59,50.45,5155,5417,103
146,2005,10,Oregon,Food,64,2005 10 Oregon,O157:H7,41,95988,0.934,0.882,53,38,5.59,50.45,5155,5417,103
147,2012,4,Oregon,Food,16,2012 4 Oregon,O157:H7,41,95988,0.934,0.882,68,45,5.59,50.45,5155,5417,103
148,2010,6,Oregon,Food,4,2010 6 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
149,2010,6,Oregon,Other,11,2010 6 Oregon,O157:H7,41,95988,0.934,0.882,82,53,5.59,50.45,5155,5417,103
150,2009,9,Oregon,Other,4,2009 9 Oregon,O157:H7,41,95988,0.934,0.882,64,42,5.59,50.45,5155,5417,103
151,2009,9,Oregon,Other,4,2009 9 Oregon,O157:H7,41,95988,0.934,0.882,64,42,5.59,50.45,5155,5417,103
