,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F)
121,2000,9,New York,Food,18,3.0,,2000 9 New York,O157:H7,420,47126,0.946,0.888,65.0,50.0
122,2004,9,New York,Food,212,14.0,0.0,2004 9 New York,O111,420,47126,0.946,0.888,65.0,50.0
123,2008,9,New York,Food,8,5.0,0.0,2008 9 New York,O157:H7,420,47126,0.946,0.888,65.0,50.0
124,2010,6,New York,Food,3,1.0,1.0,2010 6 New York,O157:H7,420,47126,0.946,0.888,85.0,70.0
125,2015,6,New York,Food,2,1.0,0.0,2015 6 New York,O157:H7,420,47126,0.946,0.888,85.0,70.0
126,2004,11,New York,Food,2,2.0,1.0,2004 11 New York,O157:H7,420,47126,0.946,0.888,44.0,32.0
127,2005,1,New York,Food,2,2.0,0.0,2005 1 New York,O157:H7,420,47126,0.946,0.888,42.0,29.0
128,2006,1,New York,Food,2,2.0,0.0,2006 1 New York,O157:H7,420,47126,0.946,0.888,42.0,29.0
129,2011,1,New York,Food,2,1.0,0.0,2011 1 New York,O157:H7,420,47126,0.946,0.888,42.0,29.0
130,2011,2,New York,Food,2,0.0,0.0,2011 2 New York,O157:H7,420,47126,0.946,0.888,50.0,35.0
131,2010,7,Arizona,Food,16,5.0,0.0,2010 7 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,104.0,83.0
132,2013,7,Arizona,Food,94,22.0,0.0,2013 7 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,104.0,83.0
133,2013,8,Arizona,Other,8,3.0,0.0,2013 8 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,100.0,77.0
134,2014,6,Arizona,Food,2,0.0,0.0,2014 6 Arizona,O26,60,113594,0.9129999999999999,0.875,106.0,83.0
135,2010,4,Arizona,Other,5,1.0,0.0,2010 4 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,95.0,69.0
136,2010,4,Colorado,Other,10,0.0,0.0,2010 4 Colorado,O111:NM,52,103642,0.9470000000000001,0.906,72,43
137,2011,10,Colorado,Other,14,3.0,0.0,2011 10 Colorado,O157:NM,52,103642,0.9470000000000001,0.906,52,25
138,2011,10,Colorado,Other,14,3.0,0.0,2011 10 Colorado,(H-),52,103642,0.9470000000000001,0.906,52,25
139,2013,10,Colorado,Food,9,1.0,0.0,2013 10 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,52,25
140,2010,10,Colorado,Other,6,1.0,0.0,2010 10 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,52,25
141,2011,6,Colorado,Other,5,0.0,0.0,2011 6 Colorado,O26:NM,52,103642,0.9470000000000001,0.906,90,59
142,2014,6,Colorado,Other,3,1.0,0.0,2014 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59
143,2009,6,Colorado,Other,13,1.0,0.0,2009 6 Colorado,O157:NM,52,103642,0.9470000000000001,0.906,90,59
144,2009,6,Colorado,Other,13,1.0,0.0,2009 6 Colorado,(H-),52,103642,0.9470000000000001,0.906,90,59
